% Model,Re0.001.mph,% Model,Re0.01.mph,% Model,Re100.mph,% Model,Re1000.mph
% Version,COMSOL 5.4.0.388,% Version,COMSOL 5.4.0.388,% Version,COMSOL 5.4.0.388,% Version,COMSOL 5.4.0.388
% Date,"Apr 28 2020, 13:17",% Date,"Apr 28 2020, 13:10",% Date,"Apr 28 2020, 12:58",% Date,"Apr 28 2020, 12:55"
% Dimension,1,% Dimension,1,% Dimension,1,% Dimension,1
% Nodes,191,% Nodes,191,% Nodes,191,% Nodes,191
% Expressions,1,% Expressions,1,% Expressions,1,% Expressions,1
% Description,Line graph,% Description,Line graph,% Description,Line graph,% Description,Line graph
% r,Height,% r,Height,% r,Height,% r,Height
0.023968488,-0.655053995,0.023968488,-6.548609493,0.023968488,-0.003443437,0.023968488,-0.262215443
0.024133788,-0.664329183,0.024133788,-6.641065309,0.024133788,-0.003389602,0.024133788,-0.271200003
0.024299088,-0.673604371,0.024299088,-6.733521125,0.024299088,-0.003335767,0.024299088,-0.280184563
0.024464388,-0.682879559,0.024464388,-6.825976942,0.024464388,-0.003281931,0.024464388,-0.289169123
0.024629688,-0.692154747,0.024629688,-6.918432758,0.024629688,-0.003228096,0.024629688,-0.298153683
0.024794988,-0.701429935,0.024794988,-7.010888575,0.024794988,-0.003174261,0.024794988,-0.307138243
0.024960288,-0.710186138,0.024960288,-7.098160279,0.024960288,-0.003126275,0.024960288,-0.313007144
0.025125588,-0.718942342,0.025125588,-7.185431984,0.025125588,-0.00307829,0.025125588,-0.318876045
0.025290887,-0.727698546,0.025290887,-7.272703689,0.025290887,-0.003030304,0.025290887,-0.324744946
0.025456187,-0.736454749,0.025456187,-7.359975394,0.025456187,-0.002982319,0.025456187,-0.330613847
0.025621487,-0.745210953,0.025621487,-7.447247099,0.025621487,-0.002934333,0.025621487,-0.336482747
0.025786787,-0.752505081,0.025786787,-7.51992094,0.025786787,-0.002889762,0.025786787,-0.334800021
0.025952087,-0.759799209,0.025952087,-7.592594781,0.025952087,-0.002845192,0.025952087,-0.333117294
0.026117386,-0.767093338,0.026117386,-7.665268623,0.026117386,-0.002800621,0.026117386,-0.331434567
0.026282686,-0.774387466,0.026282686,-7.737942464,0.026282686,-0.00275605,0.026282686,-0.32975184
0.026447986,-0.781681594,0.026447986,-7.810616305,0.026447986,-0.002711479,0.026447986,-0.328069114
0.026613286,-0.78823592,0.026613286,-7.875919435,0.026613286,-0.00266998,0.026613286,-0.315544387
0.026778586,-0.794790246,0.026778586,-7.941222565,0.026778586,-0.00262848,0.026778586,-0.30301966
0.026943885,-0.801344572,0.026943885,-8.006525696,0.026943885,-0.002586981,0.026943885,-0.290494933
0.027109185,-0.807898898,0.027109185,-8.071828826,0.027109185,-0.002545482,0.027109185,-0.277970207
0.027274485,-0.814453224,0.027274485,-8.137131956,0.027274485,-0.002503982,0.027274485,-0.26544548
0.027439785,-0.819417403,0.027439785,-8.186571955,0.027439785,-0.002464536,0.027439785,-0.24437291
0.027605085,-0.824381583,0.027605085,-8.236011954,0.027605085,-0.002425089,0.027605085,-0.22330034
0.027770385,-0.829345762,0.027770385,-8.285451954,0.027770385,-0.002385642,0.027770385,-0.202227771
0.027935685,-0.834309942,0.027935685,-8.334891953,0.027935685,-0.002346196,0.027935685,-0.181155201
0.028100985,-0.839274121,0.028100985,-8.384331952,0.028100985,-0.002306749,0.028100985,-0.160082631
0.028266284,-0.843425122,0.028266284,-8.425676139,0.028266284,-0.002271037,0.028266284,-0.136247709
0.028431584,-0.847576122,0.028431584,-8.467020326,0.028431584,-0.002235325,0.028431584,-0.112412786
0.028596884,-0.851727123,0.028596884,-8.508364513,0.028596884,-0.002199613,0.028596884,-0.088577864
0.028762183,-0.855878123,0.028762183,-8.5497087,0.028762183,-0.002163902,0.028762183,-0.064742941
0.028927483,-0.860029124,0.028927483,-8.591052887,0.028927483,-0.00212819,0.028927483,-0.040908019
0.029092783,-0.862744875,0.029092783,-8.618093486,0.029092783,-0.002099426,0.029092783,-0.017378722
0.029258083,-0.865460626,0.029258083,-8.645134085,0.029258083,-0.002070662,0.029258083,0.006150575
0.029423383,-0.868176378,0.029423383,-8.672174684,0.029423383,-0.002041899,0.029423383,0.029679872
0.029588683,-0.870892129,0.029588683,-8.699215283,0.029588683,-0.002013135,0.029588683,0.053209168
0.029753983,-0.87360788,0.029753983,-8.726255882,0.029753983,-0.001984372,0.029753983,0.076738465
0.029919282,-0.877567702,0.029919282,-8.765746792,0.029919282,-0.001962795,0.029919282,0.09193367
0.030084582,-0.881527524,0.030084582,-8.805237702,0.030084582,-0.001941218,0.030084582,0.107128874
0.030249882,-0.885487346,0.030249882,-8.844728612,0.030249882,-0.001919641,0.030249882,0.122324078
0.030415182,-0.889447168,0.030415182,-8.884219521,0.030415182,-0.001898065,0.030415182,0.137519283
0.030580481,-0.89340699,0.030580481,-8.923710431,0.030580481,-0.001876488,0.030580481,0.152714487
0.030745781,-0.887596371,0.030745781,-8.865661376,0.030745781,-0.001870206,0.030745781,0.164831829
0.030911081,-0.881785752,0.030911081,-8.80761232,0.030911081,-0.001863925,0.030911081,0.17694917
0.031076381,-0.875975133,0.031076381,-8.749563265,0.031076381,-0.001857643,0.031076381,0.189066512
0.031241681,-0.870164514,0.031241681,-8.691514209,0.031241681,-0.001851362,0.031241681,0.201183854
0.03140698,-0.864353895,0.03140698,-8.633465154,0.03140698,-0.00184508,0.03140698,0.213301195
